"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Christian McCaffrey","SF","273.0","1,290.3","11.6","70.1","566.0","4.8","1.7","351.0"
"Breece Hall","NYJ","250.0","1,121.6","7.9","66.9","529.7","3.8","1.4","299.5"
"Bijan Robinson","ATL","238.7","1,093.4","7.3","65.1","531.9","4.3","2.2","292.5"
"Saquon Barkley","PHI","269.6","1,140.1","9.1","49.0","351.5","3.0","1.7","267.7"
"Jonathan Taylor","IND","283.0","1,269.0","10.0","37.2","279.5","1.6","1.4","259.1"
"Jahmyr Gibbs","DET","202.4","950.2","8.4","55.0","392.1","2.2","1.4","250.2"
"Kyren Williams","LAR","257.1","1,150.2","10.3","36.3","263.9","2.2","1.7","249.0"
"Travis Etienne Jr.","JAC","250.2","1,023.0","8.4","45.8","355.6","1.4","1.3","239.7"
"Rachaad White","TB","241.5","934.2","6.6","54.3","410.2","2.4","1.7","239.2"
"Isiah Pacheco","KC","239.0","1,066.8","8.5","41.2","274.0","2.0","1.4","235.6"
"Alvin Kamara","NO","195.6","773.2","5.1","65.9","466.6","2.2","0.9","232.0"
"Josh Jacobs","GB","255.0","1,055.9","8.3","39.2","298.7","1.3","1.1","230.5"
"Derrick Henry","BAL","265.8","1,178.6","11.0","24.1","194.3","0.9","1.0","230.4"
"De'Von Achane","MIA","175.4","907.3","7.2","45.5","348.0","2.9","0.9","229.8"
"James Cook","BUF","236.7","1,039.1","5.0","44.6","379.5","2.6","1.4","229.4"
"Joe Mixon","HOU","245.6","955.2","7.7","39.6","300.9","2.1","0.9","222.7"
"Kenneth Walker III","SEA","237.7","995.2","8.9","29.1","224.9","1.0","0.9","209.1"
"Aaron Jones","MIN","189.9","872.1","5.5","43.4","320.1","2.0","1.0","205.1"
"Rhamondre Stevenson","NE","215.0","890.1","5.8","42.3","290.4","0.9","1.0","198.1"
"D'Andre Swift","CHI","198.8","879.7","5.7","37.7","259.4","1.6","1.0","193.8"
"Zamir White","LV","229.9","969.5","5.7","34.2","238.8","0.8","1.3","191.1"
"Najee Harris","PIT","240.2","959.1","6.9","29.3","184.5","1.2","1.0","190.1"
"James Conner","ARI","201.6","882.9","6.6","32.6","223.0","1.4","0.9","189.7"
"David Montgomery","DET","202.8","889.5","9.8","22.0","165.4","0.8","0.9","189.5"
"Raheem Mostert","MIA","168.8","799.5","8.4","26.2","183.6","1.5","1.0","182.2"
"Jaylen Warren","PIT","145.2","696.2","3.9","48.4","329.7","1.7","1.4","182.1"
"Javonte Williams","DEN","193.4","793.6","4.5","40.1","240.2","1.5","0.9","177.7"
"Tony Pollard","TEN","190.3","812.5","5.6","33.5","231.1","0.8","0.9","174.5"
"Devin Singletary","NYG","196.5","857.4","5.0","33.4","215.9","0.7","1.0","172.6"
"Zack Moss","CIN","181.0","773.4","6.0","29.9","206.7","1.4","0.5","171.6"
"Brian Robinson Jr.","WAS","184.5","762.6","5.3","29.2","247.3","1.8","1.5","170.0"
"Austin Ekeler","WAS","124.4","516.9","4.1","46.7","373.3","2.0","1.7","169.2"
"Tyjae Spears","TEN","143.2","609.9","3.6","43.7","338.7","1.5","0.9","167.4"
"Ezekiel Elliott","DAL","180.5","701.8","6.2","31.8","211.1","1.3","1.0","166.4"
"Jonathon Brooks","CAR","184.8","800.5","5.1","28.9","220.7","1.0","1.6","164.7"
"Chase Brown","CIN","128.1","570.8","3.7","35.4","290.5","1.8","0.6","153.2"
"Gus Edwards","LAC","186.1","795.1","7.1","16.0","138.5","0.4","1.3","151.5"
"Nick Chubb","CLE","171.0","794.8","5.6","19.2","151.9","0.6","0.8","149.6"
"Jerome Ford","CLE","153.0","584.6","3.8","30.1","214.6","1.7","0.8","141.4"
"Antonio Gibson","NE","116.9","445.4","2.3","37.7","283.8","1.2","1.4","129.0"
"Zach Charbonnet","SEA","114.9","503.9","3.0","33.2","224.7","0.8","0.8","127.5"
"J.K. Dobbins","LAC","131.2","534.7","3.6","22.9","172.6","1.5","0.9","122.6"
"Ty Chandler","MIN","142.5","586.6","4.4","20.4","149.6","0.6","0.8","122.5"
"Tyler Allgeier","ATL","133.2","550.7","3.8","21.3","169.4","1.2","0.8","121.8"
"Jaleel McLaughlin","DEN","107.9","504.6","2.8","27.8","179.5","1.0","0.8","117.5"
"Trey Benson","ARI","133.3","574.9","3.9","19.4","141.6","0.9","1.5","116.7"
"Blake Corum","LAR","130.0","546.2","4.1","19.7","152.4","0.7","1.5","115.9"
"Rico Dowdle","DAL","144.1","533.9","3.5","18.8","143.5","1.0","0.4","112.7"
"Chuba Hubbard","CAR","122.8","508.3","3.3","23.2","160.1","0.4","0.8","110.9"
"Kendre Miller","NO","98.1","397.7","2.7","24.2","190.7","1.1","0.8","104.4"
"MarShawn Lloyd","GB","105.9","431.3","3.2","18.3","142.1","1.0","1.2","98.6"
"Clyde Edwards-Helaire","KC","74.0","302.3","2.1","20.4","171.1","1.3","0.5","87.1"
"Khalil Herbert","CHI","105.9","447.4","2.7","12.9","89.4","0.7","0.8","85.1"
"Ray Davis","BUF","87.2","370.4","2.9","15.9","130.6","0.6","1.2","84.3"
"Alexander Mattison","LV","105.2","406.0","2.7","13.9","93.4","1.0","0.9","84.0"
"Roschon Johnson","CHI","75.9","289.5","2.3","21.1","138.8","0.6","0.5","79.9"
"Bucky Irving","TB","96.6","363.5","2.5","14.6","116.8","0.7","1.4","79.1"
"Tyrone Tracy Jr.","NYG","98.5","365.5","2.2","14.7","107.6","0.5","1.1","75.9"
"Elijah Mitchell","SF","99.8","407.7","3.2","9.2","59.3","0.2","0.7","74.7"
