"Player","Team","REC","YDS","TDS","FL","FPTS"
"Travis Kelce","KC","90.1","971.4","7.5","0.8","231.6"
"Sam LaPorta","DET","86.1","893.6","7.9","0.4","222.2"
"Mark Andrews","BAL","71.8","871.1","7.9","0.5","205.6"
"Trey McBride","ARI","85.9","883.1","5.1","0.5","203.5"
"Dalton Kincaid","BUF","82.4","822.8","5.4","0.8","195.4"
"George Kittle","SF","65.4","879.7","6.0","0.4","188.6"
"Evan Engram","JAC","85.3","786.1","4.4","0.9","188.2"
"Kyle Pitts","ATL","67.7","876.2","5.2","0.4","185.5"
"Jake Ferguson","DAL","70.7","737.4","5.9","0.4","179.0"
"David Njoku","CLE","69.4","764.6","5.4","1.2","176.0"
"Dallas Goedert","PHI","66.6","703.5","4.1","0.5","160.9"
"Brock Bowers","LV","62.1","689.2","4.6","1.1","156.5"
"Pat Freiermuth","PIT","59.2","613.5","4.6","0.5","147.2"
"Dalton Schultz","HOU","57.4","613.8","4.9","0.8","146.5"
"Cole Kmet","CHI","59.9","590.1","4.4","0.5","144.1"
"T.J. Hockenson","MIN","61.7","618.5","3.6","0.8","143.6"
"Tyler Conklin","NYJ","53.4","529.7","3.4","0.1","126.4"
"Chigoziem Okonkwo","TEN","50.1","532.1","2.6","0.4","118.3"
"Cade Otton","TB","48.4","477.8","3.5","0.4","116.6"
"Luke Musgrave","GB","46.8","491.4","3.4","0.1","115.9"
"Hunter Henry","NE","44.1","458.7","4.0","0.1","113.9"
"Juwan Johnson","NO","40.7","441.0","4.2","0.1","109.6"
"Noah Fant","SEA","43.0","461.5","2.8","0.1","105.5"
"Taysom Hill","NO","29.4","272.4","2.1","0.7","104.9"
"Hayden Hurst","LAC","39.0","376.8","2.8","0.1","93.0"
"Ben Sinnott","WAS","37.9","394.2","2.6","0.4","92.3"
"Isaiah Likely","BAL","31.6","381.8","3.7","0.0","92.0"
"Tucker Kraft","GB","35.9","374.4","2.7","0.1","89.5"
"Mike Gesicki","CIN","34.7","335.3","3.0","0.0","86.1"
"Jonnu Smith","MIA","34.2","379.3","2.4","0.4","85.9"
"Tyler Higbee","LAR","33.9","347.2","2.1","0.1","81.2"
"Daniel Bellinger","NYG","35.5","332.5","2.0","0.1","80.8"
"Greg Dulcich","DEN","32.4","360.7","1.9","0.1","80.0"
"Dawson Knox","BUF","28.1","295.1","3.3","0.1","77.1"
"Colby Parkinson","LAR","29.1","307.4","2.5","0.1","74.5"
"Zach Ertz","WAS","31.3","292.3","2.3","0.1","74.1"
"Ja'Tavion Sanders","CAR","29.8","311.5","2.3","0.4","74.0"
"Donald Parham Jr.","LAC","24.4","254.5","3.0","0.0","67.8"
"Michael Mayer","LV","27.2","293.5","1.9","0.1","67.8"
"Tommy Tremble","CAR","27.0","254.3","2.4","0.1","66.6"
"Theo Johnson","NYG","28.3","273.5","1.8","0.6","65.2"
"Gerald Everett","CHI","25.7","241.6","1.8","0.1","60.6"
"Jaheim Bell","NE","23.0","253.0","2.0","0.0","60.3"
"Jelani Woods","IND","22.7","264.1","1.8","0.1","59.5"
"Kylen Granson","IND","23.8","258.6","1.5","0.0","58.7"
"Noah Gray","KC","23.0","241.2","1.7","0.1","57.5"
"Tanner Hudson","CIN","23.9","229.5","1.7","0.1","57.0"
"Will Dissly","LAC","22.2","212.5","1.4","0.1","51.9"
"Durham Smythe","MIA","19.8","190.3","1.3","0.0","46.4"
