"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"CeeDee Lamb","DAL","116.4","1,495.3","9.7","9.8","68.4","0.8","1.1","333.8"
"Tyreek Hill","MIA","110.2","1,542.5","9.8","5.2","30.5","0.1","1.0","325.2"
"Ja'Marr Chase","CIN","106.3","1,347.5","9.3","3.0","12.6","0.1","0.7","297.4"
"Amon-Ra St. Brown","DET","110.9","1,353.9","8.2","4.5","31.2","0.1","0.9","297.4"
"Justin Jefferson","MIN","104.9","1,451.0","7.6","1.2","3.9","0.0","1.0","294.3"
"Puka Nacua","LAR","96.1","1,316.1","7.4","9.5","57.6","0.2","0.7","277.8"
"A.J. Brown","PHI","94.4","1,342.1","8.6","0.0","1.4","0.0","1.3","277.6"
"Garrett Wilson","NYJ","95.4","1,187.1","8.1","3.9","19.2","0.1","1.3","262.8"
"Davante Adams","LV","94.3","1,152.7","6.9","0.0","1.0","0.0","0.5","250.3"
"Chris Olave","NO","89.8","1,204.1","6.6","0.0","1.0","0.0","0.6","248.8"
"Marvin Harrison Jr.","ARI","87.9","1,166.3","6.8","0.5","3.6","0.0","1.5","242.6"
"Drake London","ATL","86.8","1,133.1","7.0","0.0","2.2","0.0","0.9","240.6"
"Mike Evans","TB","75.5","1,121.6","8.4","0.0","1.2","0.0","0.5","237.2"
"DeVonta Smith","PHI","85.5","1,093.0","7.2","0.0","1.2","0.0","0.9","236.0"
"Nico Collins","HOU","77.9","1,138.2","7.4","1.6","8.6","0.0","0.5","236.0"
"Michael Pittman Jr.","IND","97.1","1,069.5","5.0","0.3","3.0","0.0","1.0","232.4"
"Cooper Kupp","LAR","85.0","1,038.2","7.0","2.9","17.3","0.1","0.5","231.8"
"Brandon Aiyuk","SF","75.6","1,135.9","7.3","0.8","4.0","0.0","0.9","231.4"
"Deebo Samuel Sr.","SF","66.9","923.9","5.9","33.9","199.6","3.0","1.0","230.5"
"DK Metcalf","SEA","73.7","1,069.0","8.1","0.0","1.2","0.0","0.5","228.3"
"Jaylen Waddle","MIA","80.8","1,108.5","5.7","3.6","21.1","0.1","0.5","227.1"
"DJ Moore","CHI","77.1","1,053.5","7.0","2.0","14.5","0.2","0.9","225.5"
"Stefon Diggs","HOU","84.1","1,019.8","6.6","1.9","9.2","0.1","1.0","224.7"
"Zay Flowers","BAL","79.6","966.2","6.2","7.4","46.3","0.6","1.0","219.6"
"George Pickens","PIT","71.3","1,100.2","6.3","2.6","16.9","0.0","0.9","219.1"
"Amari Cooper","CLE","72.5","1,095.0","6.3","0.0","1.0","0.0","0.9","217.8"
"Chris Godwin","TB","83.1","989.6","5.3","2.7","20.9","0.3","0.5","216.1"
"Malik Nabers","NYG","79.5","1,047.7","5.6","0.5","5.0","0.0","1.2","216.0"
"Tee Higgins","CIN","71.1","1,014.7","7.3","0.0","1.0","0.0","0.5","215.5"
"Christian Kirk","JAC","80.9","1,007.6","5.4","1.0","6.6","0.0","1.3","212.3"
"Tank Dell","HOU","69.0","941.3","6.9","11.1","61.7","0.2","0.6","210.6"
"Keenan Allen","CHI","80.6","900.3","5.6","1.0","6.1","0.0","1.0","202.9"
"Calvin Ridley","TEN","68.1","930.7","6.8","2.9","14.6","0.0","0.5","202.2"
"Terry McLaurin","WAS","73.9","983.5","4.6","0.3","2.2","0.0","0.5","199.0"
"DeAndre Hopkins","TEN","69.8","927.9","6.0","0.3","3.0","0.0","0.5","197.6"
"Jayden Reed","GB","65.9","819.7","6.0","9.0","73.6","1.2","0.6","196.6"
"Hollywood Brown","KC","66.1","866.0","7.0","1.5","11.6","0.0","0.5","194.9"
"Diontae Johnson","CAR","70.7","883.0","5.7","1.0","7.0","0.0","0.6","192.6"
"Jordan Addison","MIN","66.8","858.9","6.1","0.3","4.0","0.0","0.5","188.6"
"Rashee Rice","KC","68.7","812.5","6.2","1.5","6.8","0.0","0.9","186.4"
"Jaxon Smith-Njigba","SEA","71.1","779.9","5.2","0.0","2.0","0.0","0.6","179.2"
"Xavier Worthy","KC","57.6","844.8","6.0","3.3","20.0","0.1","0.8","178.8"
"Christian Watson","GB","53.7","780.2","7.1","4.8","26.4","0.4","0.5","178.4"
"Rome Odunze","CHI","62.3","846.6","5.3","1.0","6.0","0.0","1.1","177.4"
"Ladd McConkey","LAC","66.1","822.1","4.8","1.1","6.7","0.0","0.8","176.3"
"Courtland Sutton","DEN","62.7","805.6","5.8","0.0","1.2","0.0","1.3","175.9"
"Tyler Lockett","SEA","67.4","777.5","5.1","0.0","1.2","0.0","0.5","175.0"
"Brian Thomas Jr.","JAC","62.7","825.1","5.0","0.7","5.8","0.0","1.1","173.6"
"Jakobi Meyers","LV","64.9","736.8","4.7","1.8","12.5","0.3","0.5","168.5"
"Mike Williams","NYJ","57.9","774.7","5.1","2.3","9.2","0.0","0.5","166.1"
"Jerry Jeudy","CLE","59.5","815.4","4.2","0.3","4.5","0.0","0.6","165.9"
"Keon Coleman","BUF","57.9","773.2","5.2","0.7","4.5","0.0","1.1","164.6"
"Joshua Palmer","LAC","59.5","753.9","4.6","0.3","2.8","0.0","0.8","161.2"
"Brandin Cooks","DAL","56.9","696.6","5.4","4.0","23.1","0.1","0.5","160.8"
"Adam Thielen","CAR","67.3","679.6","4.2","0.3","2.5","0.0","0.6","159.6"
"Jameson Williams","DET","51.8","727.8","4.5","4.5","41.4","0.7","0.6","159.1"
"Khalil Shakir","BUF","56.9","737.1","4.4","0.3","4.0","0.0","0.2","157.2"
"Curtis Samuel","BUF","58.0","617.8","4.2","11.0","66.5","0.8","0.5","155.2"
"Romeo Doubs","GB","54.3","670.5","5.5","0.0","1.5","0.0","0.5","153.3"
"Gabe Davis","JAC","48.3","723.2","5.4","0.3","1.3","0.0","0.9","151.5"
"Rashid Shaheed","NO","50.7","733.5","4.2","4.3","33.3","0.0","0.9","151.3"
"DeMario Douglas","NE","58.2","704.7","3.1","10.0","50.1","0.2","1.2","150.8"
"Wan'Dale Robinson","NYG","60.3","570.9","2.9","8.1","58.4","0.5","0.5","142.2"
"Josh Downs","IND","55.4","631.7","3.2","0.0","5.0","0.0","0.5","137.4"
"Xavier Legette","CAR","49.8","643.9","3.5","2.8","17.5","0.1","0.4","136.3"
"Darnell Mooney","ATL","46.1","642.3","4.0","2.1","11.7","0.1","0.2","135.6"
"Jahan Dotson","WAS","48.8","599.5","4.2","0.0","2.5","0.0","0.5","133.2"
"Kendrick Bourne","NE","49.4","597.2","3.8","2.3","15.8","0.0","0.5","132.7"
"Demarcus Robinson","LAR","46.2","591.9","4.4","0.3","7.8","0.0","0.6","131.4"
"Dontayvion Wicks","GB","44.9","598.7","4.5","0.3","4.3","0.0","0.5","131.4"
"Adonai Mitchell","IND","46.1","629.3","3.6","0.7","4.8","0.0","0.8","129.3"
"Ja'Lynn Polk","NE","49.9","614.0","2.8","0.7","5.8","0.0","0.4","127.8"
"Jermaine Burton","CIN","45.9","590.9","3.8","1.0","5.7","0.0","0.4","127.7"
"Rashod Bateman","BAL","45.6","599.1","3.5","0.3","4.8","0.0","0.2","126.8"
"Marvin Mims Jr.","DEN","46.0","595.8","2.8","6.2","33.5","0.2","0.3","125.9"
"Michael Wilson","ARI","45.0","591.8","3.4","0.0","1.3","0.0","0.2","124.5"
"Quentin Johnston","LAC","44.4","554.2","3.5","1.7","6.9","0.0","0.2","121.2"
"Malachi Corley","NYJ","44.9","503.1","3.3","4.4","31.6","0.2","0.1","118.8"
"Darius Slayton","NYG","40.6","581.9","3.1","0.0","1.3","0.0","0.1","116.9"
"Troy Franklin","DEN","42.0","531.7","3.1","1.0","5.0","0.0","0.7","112.9"
"Tyler Boyd","TEN","46.7","501.9","2.3","1.3","7.5","0.0","0.5","110.9"
"DJ Chark Jr.","LAC","34.9","504.9","4.3","0.0","1.3","0.0","0.5","110.6"
"Roman Wilson","PIT","39.8","517.2","2.9","0.7","10.0","0.0","0.4","109.0"
"Odell Beckham Jr.","MIA","37.4","510.1","3.4","0.0","2.3","0.0","0.4","108.4"
"Ricky Pearsall","SF","37.6","485.6","3.5","2.2","14.5","0.1","0.7","107.6"
"Jalin Hyatt","NYG","39.9","534.2","2.3","0.0","1.0","0.0","0.2","107.0"
"Zay Jones","ARI","42.7","454.6","2.9","0.3","3.0","0.0","0.5","105.1"
"Jalen McMillan","TB","39.7","475.5","2.8","0.7","7.0","0.0","0.7","103.4"
"Luke McCaffrey","WAS","38.1","447.4","2.2","2.0","13.7","0.1","0.1","97.2"
"Elijah Moore","CLE","37.5","431.0","2.5","4.1","14.4","0.0","0.5","96.5"
"Rondale Moore","ATL","33.7","341.2","2.2","16.7","92.9","0.8","0.2","94.6"
"Tim Patrick","DEN","32.3","419.4","3.1","0.0","1.0","0.0","0.1","92.6"
"Josh Reynolds","DEN","31.9","414.2","2.8","0.0","1.3","0.0","0.4","89.5"
"Jalen Tolbert","DAL","32.6","406.9","2.5","0.0","1.7","0.0","0.2","88.2"
"Trey Palmer","TB","32.3","387.5","2.4","4.2","22.9","0.1","0.2","88.2"
"Greg Dortch","ARI","35.1","361.4","2.3","3.2","21.0","0.1","0.1","87.1"
