"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Josh Allen","BUF","564.9","368.1","4,062.1","27.7","14.0","108.7","558.7","8.9","4.0","360.4"
"Jalen Hurts","PHI","520.3","339.4","3,810.6","24.4","12.1","144.8","622.3","11.3","3.8","360.2"
"Lamar Jackson","BAL","463.6","303.7","3,567.2","25.0","10.6","146.1","836.1","5.4","4.4","339.2"
"Patrick Mahomes II","KC","584.8","392.4","4,371.5","32.7","11.2","72.0","376.4","1.8","3.1","336.8"
"Anthony Richardson","IND","511.8","325.6","3,503.7","20.0","11.4","128.2","648.4","7.9","5.0","310.8"
"Dak Prescott","DAL","574.2","386.4","4,191.6","30.8","12.0","51.9","221.5","2.0","2.8","307.5"
"C.J. Stroud","HOU","557.0","362.6","4,335.8","29.5","10.1","43.8","183.7","2.4","3.6","306.3"
"Joe Burrow","CIN","580.2","388.9","4,239.7","30.2","11.5","56.7","191.3","2.1","3.1","304.4"
"Kyler Murray","ARI","530.7","353.8","3,710.9","21.8","12.1","96.1","530.7","5.2","2.6","302.6"
"Jordan Love","GB","545.4","354.8","3,987.5","29.4","11.5","45.7","200.5","2.4","3.0","294.2"
"Brock Purdy","SF","498.3","336.3","4,078.3","29.6","10.8","44.1","162.0","1.9","2.6","293.3"
"Jayden Daniels","WAS","543.5","338.6","3,582.5","20.1","13.8","114.6","594.7","5.0","4.4","290.3"
"Caleb Williams","CHI","532.8","346.7","3,784.6","25.3","13.4","78.1","363.4","3.3","4.3","286.8"
"Trevor Lawrence","JAC","566.4","373.4","3,984.8","24.4","12.5","66.1","306.1","3.5","4.8","286.3"
"Deshaun Watson","CLE","545.0","334.6","3,748.9","23.0","13.3","77.1","385.5","3.2","3.8","278.6"
"Justin Herbert","LAC","544.4","356.1","3,849.4","24.5","9.9","64.6","263.2","2.7","3.0","278.6"
"Jared Goff","DET","569.0","384.0","4,232.1","28.1","10.6","24.0","54.0","1.1","3.1","276.7"
"Tua Tagovailoa","MIA","545.2","371.1","4,269.9","27.3","12.5","31.8","88.8","0.6","3.8","272.6"
"Baker Mayfield","TB","562.2","355.2","3,944.3","25.8","11.9","51.9","171.1","1.4","3.3","268.1"
"Kirk Cousins","ATL","533.4","349.7","4,017.2","27.0","10.5","34.0","99.7","1.4","4.5","267.8"
"Matthew Stafford","LAR","552.9","355.4","4,126.8","26.9","12.5","24.0","67.8","0.6","2.2","266.0"
"Aaron Rodgers","NYJ","544.6","359.6","3,841.1","26.2","9.0","32.6","107.5","1.3","2.7","262.7"
"Geno Smith","SEA","522.8","342.6","3,755.3","24.1","11.9","50.6","203.9","1.7","3.1","259.5"
"Will Levis","TEN","513.1","323.2","3,728.8","22.2","12.4","53.8","185.4","2.2","4.2","249.0"
"Daniel Jones","NYG","494.0","322.4","3,227.5","16.6","10.6","95.0","469.2","3.5","3.6","245.6"
"Derek Carr","NO","544.6","363.6","3,842.9","24.5","10.9","24.2","69.7","0.5","3.2","244.2"
"Sam Darnold","MIN","540.9","343.6","3,721.8","22.0","14.4","44.5","173.2","2.1","4.1","244.1"
"Bo Nix","DEN","496.6","309.7","3,210.8","19.0","12.1","61.4","281.1","2.4","3.6","227.7"
"Bryce Young","CAR","531.4","333.1","3,450.8","19.2","11.9","42.5","235.5","1.2","3.5","227.0"
"Russell Wilson","PIT","442.9","281.7","2,950.6","18.1","9.4","65.7","297.3","2.6","3.5","219.4"
"Drake Maye","NE","434.5","275.4","3,034.5","15.6","12.3","56.3","257.4","2.0","2.6","204.5"
"Gardner Minshew II","LV","413.7","259.4","2,794.6","16.0","10.3","34.0","123.3","1.8","2.9","182.7"
"Taysom Hill","NO","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","75.8"
"Aidan O'Connell","LV","202.6","127.9","1,244.0","6.4","4.6","18.1","36.6","0.3","1.0","74.6"
"Justin Fields","PIT","98.9","60.7","761.1","4.1","3.1","38.8","219.4","1.6","1.8","71.4"
"Jacoby Brissett","NE","114.6","72.9","734.5","4.2","2.8","10.2","39.2","0.2","1.0","46.5"
"Sam Howell","SEA","72.9","46.9","495.4","3.1","2.2","8.0","39.0","0.4","0.5","35.4"
"Drew Lock","NYG","74.1","46.4","505.1","3.3","1.8","7.9","24.9","0.1","0.6","33.9"
"Nick Mullens","MIN","82.9","53.6","561.9","3.0","2.1","5.6","18.2","0.1","0.7","33.3"
"Jarrett Stidham","DEN","64.4","40.1","439.5","2.4","1.8","8.1","25.9","0.3","0.6","28.9"
"Jameis Winston","CLE","60.5","37.6","423.9","2.5","2.0","5.8","21.6","0.1","0.2","27.0"
"Michael Penix Jr.","ATL","42.1","25.8","334.1","2.5","1.3","3.4","21.1","0.4","0.5","25.6"
"Jake Browning","CIN","50.6","32.7","328.1","2.4","1.0","5.6","23.5","0.2","0.2","24.7"
"Spencer Rattler","NO","66.5","43.6","336.5","2.4","0.8","5.5","22.2","0.1","0.2","24.5"
"Hendon Hooker","DET","68.1","44.1","338.4","1.9","1.4","6.1","25.7","0.2","0.3","22.9"
"Josh Johnson","BAL","42.7","26.7","293.5","1.9","0.9","8.8","37.0","0.3","0.3","22.9"
"Mitchell Trubisky","BUF","45.9","30.4","274.9","2.0","1.3","8.0","26.7","0.3","0.2","22.0"
"Jimmy Garoppolo","LAR","46.9","30.5","317.7","2.1","1.0","3.8","10.6","0.0","0.1","21.3"
"Skylar Thompson","MIA","70.3","44.4","340.5","1.7","1.4","5.8","19.6","0.1","0.3","21.1"
"Joshua Dobbs","SF","40.6","26.9","267.0","1.8","0.9","6.0","27.8","0.2","0.2","20.4"
"Carson Wentz","KC","44.7","27.9","278.1","2.1","0.7","3.8","15.5","0.1","0.2","20.3"
"Tyson Bagent","CHI","46.3","29.7","291.4","1.7","1.2","5.2","24.5","0.1","0.2","20.1"
"Tyrod Taylor","NYJ","43.5","27.5","273.1","1.9","0.9","5.5","24.0","0.0","0.2","19.7"
"Cooper Rush","DAL","48.2","30.6","298.8","2.0","1.3","5.7","11.0","0.1","0.2","19.7"
"Davis Mills","HOU","47.6","29.9","290.2","1.9","1.0","4.5","14.9","0.1","0.2","19.5"
"Joe Flacco","IND","48.8","30.6","317.2","1.8","1.1","5.0","13.3","0.0","0.5","19.4"
"Clayton Tune","ARI","48.4","30.9","305.6","1.6","1.4","5.7","20.8","0.1","0.2","19.3"
"Taylor Heinicke","LAC","42.8","27.2","274.6","1.7","0.9","6.6","27.6","0.1","0.5","19.3"
"Malik Willis","GB","40.8","25.1","255.8","1.9","0.9","6.9","26.1","0.1","0.3","19.2"
"Mac Jones","JAC","47.0","31.5","293.9","1.6","0.9","5.4","18.9","0.0","0.1","19.2"
"Kenny Pickett","PHI","43.8","28.4","283.3","1.6","1.2","7.1","21.5","0.2","0.5","18.9"
"Marcus Mariota","WAS","42.6","26.4","272.2","1.5","1.2","6.9","30.3","0.1","0.2","18.9"
"Kyle Trask","TB","44.7","26.9","265.0","1.7","0.9","5.5","13.5","0.1","0.2","18.0"
"Mason Rudolph","TEN","44.0","27.1","281.3","1.7","1.2","4.9","14.5","0.0","0.2","18.0"
"Andy Dalton","CAR","45.6","28.6","270.5","1.5","0.9","4.7","16.6","0.1","0.1","17.8"
"Easton Stick","LAC","0.0","0.0","215.0","1.0","1.0","0.0","13.0","0.0","0.0","12.9"
"Zach Wilson","DEN","0.0","0.0","200.0","1.0","1.0","0.0","17.0","0.0","0.0","12.7"
"Tommy DeVito","NYG","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","0.0","12.3"
"Case Keenum","HOU","0.0","0.0","205.0","1.0","1.0","0.0","8.0","0.0","0.0","12.0"
"Trey Lance","DAL","24.0","15.0","177.0","1.0","1.0","5.0","18.5","0.0","0.0","11.9"
"Michael Pratt","TB","0.0","0.0","190.0","1.0","1.0","0.0","12.0","0.0","0.0","11.8"
"Jordan Travis","NYJ","0.0","0.0","188.0","1.0","1.0","0.0","10.0","0.0","0.0","11.5"
"Joe Milton III","NE","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","1.0","10.3"
"Kyle Allen","PIT","0.0","0.0","149.0","1.0","1.0","0.0","10.0","0.0","0.0","10.0"
"Sean Clifford","GB","0.0","0.0","154.0","1.0","1.0","0.0","8.0","0.0","0.0","10.0"
"Mike White","BUF","0.0","0.0","155.0","1.0","1.0","0.0","7.0","0.0","0.0","9.9"
"Bailey Zappe","KC","0.0","0.0","140.0","1.0","1.0","0.0","11.0","0.0","0.0","9.7"
"Jake Haener","NO","17.0","11.0","119.0","1.0","0.0","2.0","8.0","0.0","0.0","9.6"
"Stetson Bennett","LAR","0.0","0.0","92.0","1.0","0.0","0.0","13.0","0.0","0.0","9.0"
"Sam Hartman","WAS","0.0","0.0","100.0","1.0","0.0","0.0","7.0","0.0","0.0","8.7"
"Dorian Thompson-Robinson","CLE","25.0","14.0","121.5","0.5","0.5","5.0","21.0","0.0","0.0","8.5"
"Tanner McKee","PHI","0.0","0.0","80.0","1.0","0.0","0.0","8.0","0.0","0.0","8.0"
"Sam Ehlinger","IND","0.0","0.0","76.0","1.0","0.0","0.0","8.0","0.0","0.0","7.8"
"Devin Leary","BAL","0.0","0.0","65.0","0.0","0.0","0.0","0.0","0.0","0.0","2.6"
""
""
