"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","272.4","1,288.8","11.6","69.9","567.0","4.8","1.7","350.5"
"Breece Hall","NYJ","249.2","1,129.2","8.1","66.8","530.1","3.8","1.4","301.6"
"Bijan Robinson","ATL","244.0","1,113.1","7.4","65.5","534.2","4.3","2.2","295.9"
"Saquon Barkley","PHI","269.1","1,128.6","9.3","48.0","344.2","3.0","1.7","265.6"
"Jonathan Taylor","IND","283.8","1,271.5","10.1","37.2","278.9","1.6","1.4","259.7"
"Jahmyr Gibbs","DET","202.5","941.3","8.4","54.6","388.9","2.2","1.4","248.5"
"Alvin Kamara","NO","208.6","814.9","5.3","68.9","488.5","2.3","0.9","243.6"
"Kyren Williams","LAR","245.5","1,115.9","10.0","34.4","251.2","1.9","1.7","239.1"
"Travis Etienne Jr.","JAC","250.0","1,024.7","8.2","46.1","358.0","1.2","1.3","238.1"
"Derrick Henry","BAL","269.2","1,203.3","11.2","24.9","199.1","0.9","1.0","235.8"
"Rachaad White","TB","235.5","914.8","6.5","52.5","395.7","2.4","1.7","233.7"
"Josh Jacobs","GB","255.5","1,055.9","8.6","39.7","301.7","1.1","1.1","231.8"
"James Cook","BUF","231.7","1,033.3","5.1","45.0","382.4","2.8","1.4","231.2"
"Isiah Pacheco","KC","238.6","1,065.8","8.5","38.8","258.4","1.9","1.4","230.9"
"De'Von Achane","MIA","175.0","907.2","7.3","45.4","348.4","2.9","0.9","229.9"
"Joe Mixon","HOU","244.7","961.8","7.6","40.1","304.4","2.2","0.9","223.5"
"Kenneth Walker III","SEA","240.3","1,004.0","9.0","29.1","224.9","1.0","0.9","210.2"
"Aaron Jones","MIN","189.3","869.0","5.5","42.8","313.5","1.9","1.0","203.5"
"Rhamondre Stevenson","NE","213.1","885.3","5.7","41.8","286.8","0.8","1.0","196.5"
"David Montgomery","DET","205.1","901.6","9.9","22.4","167.6","0.8","0.9","191.8"
"Zamir White","LV","234.8","987.0","5.7","33.0","230.1","0.8","1.3","191.2"
"James Conner","ARI","201.7","883.7","6.7","32.6","222.3","1.4","0.9","190.0"
"Najee Harris","PIT","237.2","948.8","6.6","28.6","180.7","1.2","1.0","186.0"
"Javonte Williams","DEN","204.3","834.6","4.7","41.2","247.0","1.5","0.9","184.8"
"D'Andre Swift","CHI","178.3","810.3","5.2","36.5","251.9","1.6","1.0","181.4"
"Raheem Mostert","MIA","168.7","804.3","8.5","25.4","179.2","1.3","1.0","180.5"
"Jaylen Warren","PIT","142.4","685.7","3.9","47.9","327.6","1.7","1.4","180.2"
"Tony Pollard","TEN","197.6","846.6","5.7","34.1","236.7","0.9","0.9","179.9"
"Devin Singletary","NYG","196.3","847.4","5.0","33.0","212.9","0.7","1.0","171.0"
"Brian Robinson Jr.","WAS","185.3","776.1","5.3","28.8","241.1","1.8","1.5","170.2"
"Austin Ekeler","WAS","126.5","524.1","4.2","46.3","366.8","2.0","1.7","169.1"
