"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","274.2","1,294.6","11.7","69.9","566.2","4.8","1.7","281.6"
"Breece Hall","NYJ","249.9","1,121.9","7.8","66.9","529.6","3.8","1.4","232.3"
"Bijan Robinson","ATL","238.7","1,093.6","7.3","65.1","531.9","4.3","2.2","227.5"
"Jonathan Taylor","IND","283.0","1,269.2","10.0","37.2","279.5","1.6","1.4","221.9"
"Saquon Barkley","PHI","269.6","1,140.1","9.1","49.0","351.5","3.0","1.7","218.7"
"Kyren Williams","LAR","258.1","1,154.1","10.3","36.3","263.9","2.2","1.7","213.3"
"Derrick Henry","BAL","265.8","1,178.5","11.0","24.1","194.3","0.9","1.0","206.3"
"Jahmyr Gibbs","DET","201.3","946.3","8.4","55.0","392.1","2.2","1.4","194.6"
"Isiah Pacheco","KC","238.9","1,066.8","8.5","41.2","274.0","2.0","1.4","194.4"
"Travis Etienne Jr.","JAC","250.2","1,023.1","8.4","45.8","355.7","1.4","1.3","193.9"
"Josh Jacobs","GB","255.0","1,056.0","8.3","39.2","298.8","1.3","1.1","191.3"
"Rachaad White","TB","241.5","934.1","6.6","54.3","410.1","2.4","1.7","184.9"
"James Cook","BUF","236.7","1,039.1","5.0","44.6","379.5","2.6","1.4","184.8"
"Joe Mixon","HOU","248.6","965.1","7.8","39.6","300.7","2.1","0.9","184.5"
"De'Von Achane","MIA","175.4","907.5","7.2","45.5","348.1","2.9","0.9","184.2"
"Kenneth Walker III","SEA","237.7","994.9","8.9","29.1","225.0","1.0","0.9","179.9"
"David Montgomery","DET","203.9","893.2","9.8","22.0","165.4","0.8","0.9","168.1"
"Alvin Kamara","NO","195.6","773.2","5.1","65.9","466.0","2.2","0.9","166.1"
"Aaron Jones","MIN","189.9","872.2","5.5","43.4","320.3","2.0","1.0","161.8"
"Najee Harris","PIT","240.2","959.2","6.9","29.3","184.5","1.2","1.0","160.8"
"James Conner","ARI","201.6","882.9","6.6","32.6","223.0","1.4","0.9","157.2"
"Zamir White","LV","229.9","969.5","5.6","34.2","238.8","0.8","1.3","156.9"
"D'Andre Swift","CHI","198.7","879.7","5.7","37.7","259.4","1.6","1.0","156.0"
"Raheem Mostert","MIA","168.8","799.4","8.4","26.2","183.6","1.5","1.0","156.0"
"Rhamondre Stevenson","NE","215.0","890.3","5.8","42.3","290.5","0.9","1.0","155.8"
"Zack Moss","CIN","190.2","805.4","6.3","29.9","206.7","1.4","0.5","146.4"
"Jonathon Brooks","CAR","196.3","840.0","5.2","30.4","232.6","1.1","1.6","141.6"
