"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","89.0","960.9","7.5","0.8","229.4"
"Sam LaPorta","DET","86.3","891.4","7.7","0.4","221.0"
"Mark Andrews","BAL","71.9","869.5","7.9","0.5","205.2"
"Trey McBride","ARI","86.0","880.4","5.1","0.5","203.5"
"Dalton Kincaid","BUF","82.3","821.9","5.4","0.8","195.2"
"George Kittle","SF","65.4","880.8","6.0","0.4","188.6"
"Evan Engram","JAC","85.4","786.7","4.4","0.9","188.4"
"Kyle Pitts","ATL","67.8","874.7","5.2","0.4","185.4"
"Jake Ferguson","DAL","70.7","736.5","5.9","0.4","178.8"
"David Njoku","CLE","69.8","772.8","5.5","1.2","177.5"
"Dallas Goedert","PHI","65.5","690.7","4.0","0.5","157.7"
"Brock Bowers","LV","62.6","696.6","4.6","1.1","157.6"
"Dalton Schultz","HOU","56.9","607.8","4.9","0.8","145.4"
"Pat Freiermuth","PIT","54.8","572.2","4.1","0.5","135.9"
"T.J. Hockenson","MIN","56.1","561.2","3.2","0.8","129.7"
"Tyler Conklin","NYJ","53.3","532.4","3.3","0.1","126.3"
"Cole Kmet","CHI","50.9","503.4","4.2","0.5","125.5"
"Hunter Henry","NE","48.1","499.7","4.3","0.1","123.5"
"Cade Otton","TB","49.2","489.7","3.8","0.4","119.9"
"Luke Musgrave","GB","46.7","489.3","3.4","0.1","115.8"
"Chigoziem Okonkwo","TEN","48.2","513.4","2.7","0.4","114.9"
"Taysom Hill","NO","28.7","273.7","2.1","0.4","112.9"
"Juwan Johnson","NO","41.6","455.7","4.1","0.1","111.9"
"Noah Fant","SEA","45.9","489.8","2.8","0.1","111.3"
"Isaiah Likely","BAL","35.2","423.3","4.1","0.1","102.0"
"Hayden Hurst","LAC","40.6","390.8","2.9","0.1","96.7"
"Jonnu Smith","MIA","37.8","417.2","2.9","0.4","96.0"
"Mike Gesicki","CIN","35.9","352.7","3.1","0.1","89.6"
"Zach Ertz","WAS","37.9","349.2","2.7","0.1","88.7"
