"Player","Team","REC","YDS","TDS","FL","FPTS"
"Travis Kelce","KC","90.1","971.4","7.5","0.8","141.5"
"Sam LaPorta","DET","86.3","893.6","7.9","0.4","136.1"
"Mark Andrews","BAL","72.7","880.1","7.9","0.5","134.6"
"George Kittle","SF","65.4","879.7","6.0","0.4","123.2"
"Kyle Pitts","ATL","67.8","876.2","5.2","0.4","117.8"
"Trey McBride","ARI","86.0","883.2","5.1","0.5","117.6"
"Dalton Kincaid","BUF","82.4","822.8","5.4","0.8","113.1"
"Jake Ferguson","DAL","70.7","737.5","5.9","0.4","108.3"
"David Njoku","CLE","69.4","764.4","5.4","1.2","106.6"
"Evan Engram","JAC","85.3","786.3","4.4","0.9","102.9"
"Brock Bowers","LV","62.1","689.5","4.6","1.1","94.4"
"Dallas Goedert","PHI","66.6","703.5","4.1","0.5","94.3"
"Dalton Schultz","HOU","57.4","613.8","4.9","0.8","89.1"
"Pat Freiermuth","PIT","59.2","613.4","4.6","0.5","87.9"
"Cole Kmet","CHI","59.9","590.1","4.4","0.5","84.2"
"T.J. Hockenson","MIN","61.8","618.9","3.6","0.8","81.9"
"Taysom Hill","NO","29.3","271.7","2.1","0.7","75.4"
"Tyler Conklin","NYJ","53.4","529.8","3.4","0.1","73.1"
"Hunter Henry","NE","44.0","458.9","4.0","0.1","69.9"
"Luke Musgrave","GB","46.7","491.5","3.4","0.1","69.1"
"Juwan Johnson","NO","40.6","440.2","4.2","0.1","68.9"
"Chigoziem Okonkwo","TEN","50.1","532.0","2.6","0.4","68.3"
"Cade Otton","TB","48.4","477.9","3.5","0.4","68.2"
"Noah Fant","SEA","43.0","461.6","2.8","0.1","62.5"
"Isaiah Likely","BAL","31.6","381.8","3.7","0.0","60.5"
"Hayden Hurst","LAC","39.0","376.8","2.8","0.1","54.1"
"Ben Sinnott","WAS","37.5","390.0","2.6","0.4","53.9"
"Tucker Kraft","GB","35.9","374.5","2.7","0.1","53.7"
"Jonnu Smith","MIA","34.2","379.3","2.4","0.4","51.7"
"Mike Gesicki","CIN","34.7","335.6","3.0","0.0","51.4"
"Dawson Knox","BUF","28.1","295.1","3.3","0.1","49.1"
"Tyler Higbee","LAR","34.6","353.9","2.1","0.1","48.1"
"Greg Dulcich","DEN","32.4","360.5","1.9","0.1","47.6"
"Daniel Bellinger","NYG","35.5","332.7","2.0","0.1","45.4"
"Colby Parkinson","LAR","28.8","304.4","2.4","0.1","44.9"
"Ja'Tavion Sanders","CAR","29.8","311.5","2.3","0.4","44.2"
"Donald Parham Jr.","LAC","24.4","254.5","3.0","0.0","43.4"
"Zach Ertz","WAS","30.9","289.1","2.3","0.1","42.4"
"Tommy Tremble","CAR","27.6","260.3","2.6","0.1","41.4"
"Michael Mayer","LV","26.9","289.9","1.9","0.1","40.1"
"Jaheim Bell","NE","23.0","253.0","2.0","0.0","37.3"
