"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"CeeDee Lamb","DAL","116.1","1,488.6","9.7","9.8","68.4","0.8","1.1","332.6"
"Tyreek Hill","MIA","110.1","1,545.1","9.9","5.2","30.5","0.1","1.0","325.9"
"Ja'Marr Chase","CIN","106.5","1,357.5","9.1","3.0","12.6","0.1","0.7","297.0"
"Amon-Ra St. Brown","DET","111.0","1,351.0","8.2","4.5","31.3","0.1","0.9","297.0"
"Justin Jefferson","MIN","105.5","1,447.6","7.4","1.2","3.8","0.0","1.0","293.5"
"Puka Nacua","LAR","94.7","1,298.9","7.2","8.9","54.7","0.2","0.7","272.8"
"A.J. Brown","PHI","92.9","1,318.2","8.2","0.0","1.4","0.0","1.3","271.6"
"Garrett Wilson","NYJ","95.2","1,190.3","8.2","3.9","19.2","0.1","1.3","263.0"
"Chris Olave","NO","89.7","1,206.0","6.5","0.0","1.0","0.0","0.6","248.4"
"Marvin Harrison Jr.","ARI","88.4","1,175.7","6.8","0.5","3.6","0.0","1.5","244.1"
"Davante Adams","LV","93.1","1,129.8","6.5","0.0","1.0","0.0","0.5","244.1"
"Drake London","ATL","87.8","1,144.5","7.0","0.0","2.2","0.0","0.9","242.7"
"Nico Collins","HOU","78.5","1,152.2","7.4","1.4","8.6","0.0","0.5","238.2"
"Mike Evans","TB","75.6","1,120.6","8.4","0.0","1.2","0.0","0.5","237.2"
"Cooper Kupp","LAR","85.9","1,060.7","7.3","2.9","17.4","0.1","0.5","236.6"
"DeVonta Smith","PHI","84.8","1,082.3","7.1","0.0","1.2","0.0","0.9","233.8"
"Deebo Samuel Sr.","SF","66.9","925.1","5.9","35.8","208.2","3.1","1.0","232.0"
"Brandon Aiyuk","SF","75.6","1,137.4","7.3","0.8","4.0","0.0","0.9","231.5"
"Michael Pittman Jr.","IND","96.6","1,061.4","5.0","0.3","3.0","0.0","1.0","231.3"
"Jaylen Waddle","MIA","81.8","1,123.9","5.7","3.6","21.1","0.1","0.5","230.2"
"DK Metcalf","SEA","73.7","1,068.6","8.1","0.0","1.2","0.0","0.5","228.2"
"Stefon Diggs","HOU","85.1","1,032.0","6.6","1.9","9.1","0.1","1.0","227.2"
"DJ Moore","CHI","75.5","1,038.2","7.0","2.3","15.1","0.2","0.9","222.3"
"Malik Nabers","NYG","81.2","1,076.6","5.9","0.5","5.0","0.0","1.2","222.2"
