"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DAL","116.4","1,495.4","9.7","9.8","68.4","0.8","1.1","217.4"
"Tyreek Hill","MIA","110.2","1,542.4","9.8","5.2","30.5","0.1","1.0","215.0"
"Ja'Marr Chase","CIN","106.4","1,347.6","9.3","3.0","12.6","0.1","0.7","191.1"
"Justin Jefferson","MIN","104.5","1,446.6","7.6","1.2","3.9","0.0","1.0","189.0"
"Amon-Ra St. Brown","DET","110.9","1,354.1","8.2","4.5","31.2","0.1","0.9","186.4"
"A.J. Brown","PHI","94.4","1,342.3","8.6","0.0","1.4","0.0","1.3","183.2"
"Puka Nacua","LAR","96.2","1,316.1","7.4","9.5","57.6","0.2","0.7","181.6"
"Garrett Wilson","NYJ","95.4","1,187.1","8.2","3.9","19.2","0.1","1.3","167.5"
"Deebo Samuel Sr.","SF","66.9","924.0","5.9","33.9","199.6","3.0","1.0","163.6"
"Mike Evans","TB","75.5","1,121.4","8.4","0.0","1.2","0.0","0.5","161.7"
"Chris Olave","NO","89.6","1,201.5","6.6","0.0","1.0","0.0","0.6","158.7"
"Nico Collins","HOU","77.9","1,138.1","7.4","1.6","8.6","0.0","0.5","158.1"
"Davante Adams","LV","94.4","1,153.3","7.0","0.0","1.0","0.0","0.5","156.1"
"Brandon Aiyuk","SF","75.6","1,136.0","7.3","0.8","4.0","0.0","0.9","155.8"
"Marvin Harrison Jr.","ARI","87.9","1,166.4","6.8","0.5","3.6","0.0","1.5","154.6"
"DK Metcalf","SEA","73.7","1,069.1","8.1","0.0","1.2","0.0","0.5","154.6"
"Drake London","ATL","86.8","1,133.2","7.0","0.0","2.2","0.0","0.9","153.9"
"DeVonta Smith","PHI","85.5","1,093.0","7.2","0.0","1.2","0.0","0.9","150.5"
"DJ Moore","CHI","77.2","1,053.5","7.0","2.0","14.5","0.2","0.9","148.4"
"George Pickens","PIT","71.3","1,100.1","6.3","2.6","16.9","0.0","0.9","147.8"
"Cooper Kupp","LAR","85.0","1,038.2","7.0","2.9","17.3","0.1","0.5","146.8"
"Jaylen Waddle","MIA","80.8","1,108.5","5.7","3.6","21.1","0.1","0.5","146.3"
"Amari Cooper","CLE","72.4","1,095.0","6.3","0.0","1.0","0.0","0.9","145.4"
"Tee Higgins","CIN","71.1","1,014.8","7.3","0.0","1.0","0.0","0.5","144.4"
"Tank Dell","HOU","69.0","941.1","6.9","11.1","61.7","0.2","0.6","141.5"
"Stefon Diggs","HOU","84.1","1,019.6","6.6","1.9","9.2","0.1","1.0","140.6"
"Zay Flowers","BAL","80.4","966.0","6.2","7.4","46.3","0.6","1.0","140.0"
"Malik Nabers","NYG","79.5","1,048.4","5.6","0.5","5.0","0.0","1.2","136.6"
"Michael Pittman Jr.","IND","97.1","1,069.5","5.0","0.3","3.0","0.0","1.0","135.3"
"Calvin Ridley","TEN","68.1","930.4","6.8","2.9","14.6","0.0","0.5","134.1"
"Chris Godwin","TB","83.1","989.4","5.3","2.7","20.9","0.3","0.5","133.0"
"Jayden Reed","GB","65.9","819.9","6.0","9.0","73.6","1.2","0.6","130.8"
"Christian Kirk","JAC","80.1","997.7","5.4","1.0","6.6","0.0","1.3","130.2"
"DeAndre Hopkins","TEN","70.5","938.6","6.0","0.3","3.0","0.0","0.6","129.2"
"Hollywood Brown","KC","66.1","866.0","7.0","1.5","11.6","0.0","0.5","128.8"
"Terry McLaurin","WAS","73.8","983.6","4.6","0.3","2.2","0.0","0.5","125.2"
