,Player,Pos,Team,PASS ATT,PASS CMP,PASS YDS,PASS TD,INTS,RUSH ATT,RUSH YDS,RUSH TD,REC YDS,REC TD,FL
0,Jalen Hurts,QB,PHI,520.1,339.7,3811.3,24.4,12.3,145.6,625.0,11.3,0.0,0.0,3.8
1,Josh Allen,QB,BUF,559.6,364.5,4029.5,27.6,14.2,107.4,546.6,8.9,0.0,0.0,4.0
2,Patrick Mahomes II,QB,KC,584.4,392.0,4371.2,32.5,11.4,72.3,376.7,1.8,0.0,0.0,3.1
3,Lamar Jackson,QB,BAL,464.6,304.2,3570.9,25.1,10.8,138.6,800.1,5.1,0.0,0.0,4.1
4,Dak Prescott,QB,DAL,574.6,386.4,4239.3,31.1,12.2,51.9,222.3,2.0,0.0,0.0,2.8
5,Anthony Richardson,QB,IND,511.9,326.3,3507.8,19.9,11.5,127.5,646.0,7.8,0.0,0.0,5.0
6,C.J. Stroud,QB,HOU,556.0,361.8,4329.0,29.4,10.1,44.1,184.2,2.3,0.0,0.0,3.6
7,Joe Burrow,QB,CIN,580.8,389.7,4230.6,30.3,11.5,56.7,192.4,2.2,0.0,0.0,3.1
8,Kyler Murray,QB,ARI,530.3,353.2,3679.0,21.8,12.3,96.1,521.2,5.0,0.0,0.0,2.6
9,Brock Purdy,QB,SF,498.4,336.1,4073.5,29.6,11.0,44.7,163.6,2.0,0.0,0.0,2.6
10,Jordan Love,QB,GB,543.1,353.5,3973.5,29.2,11.6,46.1,202.5,2.5,0.0,0.0,3.0
11,Trevor Lawrence,QB,JAC,565.7,373.0,3978.1,24.3,12.7,66.1,306.5,3.5,0.0,0.0,4.8
12,Jayden Daniels,QB,WAS,538.3,338.2,3557.6,20.0,14.6,109.5,575.1,4.4,0.0,0.0,4.4
13,Caleb Williams,QB,CHI,539.8,351.2,3802.6,24.9,14.2,69.5,325.6,3.1,0.0,0.0,4.0
14,Justin Herbert,QB,LAC,544.2,356.4,3851.9,24.6,9.7,65.8,267.0,2.7,0.0,0.0,3.0
15,Jared Goff,QB,DET,568.4,383.5,4230.2,28.1,10.8,24.6,55.6,1.1,0.0,0.0,3.1
16,Deshaun Watson,QB,CLE,538.6,330.7,3713.6,22.7,13.5,76.8,380.3,3.2,0.0,0.0,3.8
17,Tua Tagovailoa,QB,MIA,545.1,370.8,4269.0,27.2,12.7,31.8,88.8,0.6,0.0,0.0,3.8
18,Baker Mayfield,QB,TB,562.0,355.5,3947.9,25.7,11.9,52.1,171.3,1.5,0.0,0.0,3.3
19,Kirk Cousins,QB,ATL,534.4,351.0,4024.7,27.0,10.5,33.9,99.6,1.4,0.0,0.0,4.5
20,Matthew Stafford,QB,LAR,552.5,355.0,4122.7,26.8,12.7,23.4,66.2,0.6,0.0,0.0,2.2
21,Aaron Rodgers,QB,NYJ,545.9,361.2,3834.5,26.2,9.2,33.2,110.0,1.3,0.0,0.0,2.7
22,Geno Smith,QB,SEA,522.6,342.7,3756.0,24.3,12.1,50.6,203.8,1.5,0.0,0.0,3.1
23,Derek Carr,QB,NO,544.6,363.8,3848.6,25.0,11.1,24.7,71.2,0.5,0.0,0.0,3.2
24,Will Levis,QB,TEN,511.0,320.7,3705.1,21.6,12.8,54.5,186.8,2.2,0.0,0.0,4.2
25,Daniel Jones,QB,NYG,494.2,322.7,3222.2,16.6,10.8,95.0,469.3,3.5,0.0,0.0,3.6
26,Russell Wilson,QB,PIT,438.2,279.1,3048.6,18.8,9.8,65.9,311.4,2.6,0.0,0.0,3.5
27,Bryce Young,QB,CAR,531.7,333.5,3454.0,19.2,12.1,43.0,237.2,1.2,0.0,0.0,3.5
28,Bo Nix,QB,DEN,470.2,293.0,2986.8,17.6,11.5,59.6,265.1,2.4,0.0,0.0,3.2
29,J.J. McCarthy,QB,MIN,390.7,249.7,2851.4,17.0,10.7,31.0,181.6,1.6,0.0,0.0,2.9
30,Drake Maye,QB,NE,375.4,237.8,2707.1,14.4,11.4,46.8,225.7,1.8,0.0,0.0,2.6
31,Gardner Minshew II,QB,LV,331.0,208.0,2219.6,12.7,8.4,26.8,93.3,1.3,0.0,0.0,1.9
32,Aidan O'Connell,QB,LV,240.0,151.0,1587.3,8.6,6.3,20.2,50.7,0.5,0.0,0.0,2.0
33,Sam Darnold,QB,MIN,214.0,134.3,1300.2,7.7,4.8,18.3,60.6,0.9,0.0,0.0,0.5
34,Justin Fields,QB,PIT,107.3,65.7,745.0,4.1,3.1,40.8,212.8,1.3,0.0,0.0,1.2
35,Jacoby Brissett,QB,NE,174.6,112.5,1031.8,5.5,3.7,15.9,56.2,0.3,0.0,0.0,1.0
36,Taysom Hill,QB,NO,5.0,4.0,54.0,0.0,0.0,80.0,351.5,4.5,0.0,0.0,0.5
37,Jarrett Stidham,QB,DEN,97.4,61.3,700.3,4.2,3.0,11.8,39.9,0.3,0.0,0.0,0.6
38,Sam Howell,QB,SEA,73.1,47.0,496.8,3.1,2.2,8.0,39.0,0.4,0.0,0.0,0.5
39,Drew Lock,QB,NYG,74.0,46.5,504.3,3.3,1.8,7.9,25.0,0.1,0.0,0.0,0.6
40,Nathan Peterman,QB,NO,65.7,40.6,429.1,2.9,1.8,5.9,24.3,0.2,0.0,0.0,0.5
41,Jake Browning,QB,CIN,50.5,32.7,376.9,2.7,1.5,5.6,26.8,0.2,0.0,0.0,0.2
42,Michael Penix Jr.,QB,ATL,42.5,26.0,335.0,2.5,1.3,3.4,21.0,0.4,0.0,0.0,0.5
43,Josh Johnson,QB,BAL,42.7,26.7,294.2,1.9,0.9,8.8,37.0,0.3,0.0,0.0,0.3
