Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
1,Christian McCaffrey,SF,RB,1.00,1.60,2.00,5.60,25.72,110.76,,
2,CeeDee Lamb,DAL,WR,2.00,2.30,3.00,1.20,17.95,79.80,,
3,Tyreek Hill,MIA,WR,3.00,3.30,4.88,12.90,19.72,91.18,,
5,Justin Jefferson,MIN,WR,5.00,4.30,5.88,2.20,17.20,98.98,,
4,Ja'Marr Chase,CIN,WR,4.00,5.20,7.25,4.30,15.27,88.22,,
7,Bijan Robinson,ATL,RB,7.00,6.80,7.50,6.30,15.09,44.04,,
6,Amon-Ra St. Brown,DET,WR,6.00,7.80,16.75,3.70,16.16,64.08,,
8,Breece Hall,NYJ,RB,8.00,8.90,12.57,8.20,12.88,45.81,,
10,A.J. Brown,PHI,WR,10.00,9.00,11.29,10.00,12.45,71.94,,
12,Puka Nacua,LAR,WR,12.00,10.60,11.71,8.20,16.46,33.91,,
11,Jahmyr Gibbs,DET,RB,11.00,11.00,16.43,11.00,11.51,30.12,,
9,Jonathan Taylor,IND,RB,9.00,12.30,10.12,14.30,17.49,62.08,,
13,Saquon Barkley,PHI,RB,13.00,13.30,14.62,19.00,16.15,85.36,,
14,Garrett Wilson,NYJ,WR,14.00,14.00,29.00,13.60,10.46,37.62,,
17,Kyren Williams,LAR,RB,17.00,15.20,16.57,23.20,10.81,25.66,,
18,Marvin Harrison,ARI,WR,18.00,16.30,6.33,7.30,20.13,19.37,,
20,Derrick Henry,BAL,RB,20.00,17.10,17.56,55.90,20.33,79.68,,
27,Travis Etienne,JAX,RB,27.00,17.30,27.33,16.30,10.15,48.72,,
36,De'Von Achane,MIA,RB,36.00,19.10,35.29,32.50,8.09,22.36,,
16,Josh Allen,BUF,QB,16.00,20.40,28.43,20.90,18.71,92.24,,
24,Sam LaPorta,DET,TE,24.00,21.20,49.11,17.90,10.88,26.13,,
42,Travis Kelce,KC,TE,42.00,22.30,25.70,40.00,17.00,87.79,,
23,Davante Adams,LV,WR,23.00,23.30,27.00,62.30,18.92,76.42,,
33,Drake London,ATL,WR,33.00,24.80,27.40,28.20,8.49,25.90,,
15,Brandon Aiyuk,SF,WR,15.00,25.80,37.57,26.30,8.05,37.11,,
31,Josh Jacobs,GB,RB,31.00,26.00,29.56,29.30,13.81,58.20,,
21,Chris Olave,NO,WR,21.00,26.80,23.33,21.00,8.57,37.33,,
37,Isiah Pacheco,KC,RB,37.00,28.10,21.11,36.00,7.62,30.98,,
28,Nico Collins,HOU,WR,28.00,29.50,31.62,38.00,12.52,18.96,,
30,Patrick Mahomes,KC,QB,30.00,30.80,29.29,15.30,20.39,101.22,,
26,Jalen Hurts,PHI,QB,26.00,31.00,26.50,22.00,15.86,72.88,,
22,Mike Evans,TB,WR,22.00,32.40,35.75,70.80,10.52,36.02,,
19,Deebo Samuel,SF,WR,19.00,33.20,23.67,56.50,8.81,52.93,,
29,Lamar Jackson,BAL,QB,29.00,34.30,38.71,30.60,14.98,75.62,,
40,Rachaad White,TB,RB,40.00,35.00,40.00,42.00,7.96,22.25,,
49,Stefon Diggs,HOU,WR,49.00,35.50,27.00,66.70,15.03,85.30,,
34,Jaylen Waddle,MIA,WR,34.00,37.00,34.78,24.40,10.84,54.65,,
25,DJ Moore,CHI,WR,25.00,38.00,30.40,43.40,11.54,46.11,,
59,Trey McBride,ARI,TE,59.00,39.10,48.70,33.20,9.66,11.44,,
39,Mark Andrews,BAL,TE,39.00,40.60,51.38,49.60,8.66,48.46,,
44,C.J. Stroud,HOU,QB,44.00,41.00,64.33,25.30,14.43,31.81,,
43,James Cook,BUF,RB,43.00,42.20,37.88,47.20,5.71,26.00,,
46,Joe Mixon,HOU,RB,46.00,43.70,41.71,57.20,16.69,63.08,Ques,Hamstring
35,Michael Pittman,IND,WR,35.00,44.80,51.75,34.10,9.49,30.65,,
80,Dalton Kincaid,BUF,TE,80.00,44.80,74.86,41.40,10.37,15.85,,
